,,,,,,,KHÔNG HOẠT ĐỘNG / Will NOT Run on,"T2-6,CN","T7,CN",,,,"T2-6,CN",,,,,,,"T7,CN","T7,CN",,"T7,CN",CN
VSIP2 Thống Nhất - Đường số 7,,,,,,,,7:15,7:30,8:15,9:15,10:15,10:50,11:15,12:15,13:15,14:15,15:15,16:15,16:30,16:45,17:15,18:15,19:00
VSIP2 Thống Nhất - Đường số 6,,,,,,,,7:16,7:31,8:16,9:16,10:16,10:51,11:16,12:16,13:16,14:16,15:16,16:16,16:31,16:46,17:16,18:16,19:01
VSIP2 Thống Nhất - Dân Chủ,,,,,,,,7:17,7:32,8:17,9:17,10:17,10:52,11:17,12:17,13:17,14:17,15:17,16:17,16:32,16:47,17:17,18:17,19:02
VSIP2 Thống Nhất - Đường số 4,,,,,,,,7:17,7:32,8:17,9:17,10:17,10:52,11:17,12:17,13:17,14:17,15:17,16:17,16:32,16:47,17:17,18:17,19:02
VSIP2 Thống Nhất - Đường số 2,,,,,,,,7:18,7:33,8:18,9:18,10:18,10:53,11:18,12:18,13:18,14:18,15:18,16:18,16:33,16:48,17:18,18:18,19:03
Cổng VSIP 2,,,,,,,,7:19,7:34,8:19,9:19,10:19,10:54,11:19,12:19,13:19,14:19,15:19,16:19,16:34,16:49,17:19,18:19,19:04
Unitown - Lê Hoàn,,,,,,,,7:20,7:35,8:20,9:20,10:20,10:55,11:20,12:20,13:20,14:20,15:20,16:20,16:35,16:50,17:20,18:20,19:05
Chùa Hội An,,,,,,,,7:21,7:36,8:21,9:21,10:21,10:56,11:21,12:21,13:21,14:21,15:21,16:21,16:36,16:51,17:21,18:21,19:06
Sảnh sau Trung Tâm Hành Chính (lưu ý),,,,,,,,↓,7:40,8:25,9:25,10:25,↓,11:25,12:25,13:25,14:25,15:25,16:25,16:40,16:55,17:25,↓,↓
hikari,,,,,,,,7:27,7:42,8:27,9:27,10:27,11:02,11:27,12:27,13:27,14:27,15:27,16:27,16:42,16:57,17:27,18:27,19:12
Khách sạn Becamex Thành phố Mới,,,,,,,,7:27,7:42,8:27,9:27,10:27,11:02,11:27,12:27,13:27,14:27,15:27,16:27,16:42,16:57,17:27,18:27,19:12
Phố Thương mại - Lý Thái Tổ,,,,,,,,7:28,7:43,8:28,9:28,10:28,11:03,11:28,12:28,13:28,14:28,15:28,16:28,16:43,16:58,17:28,18:28,19:13
Trường Ngô Thời Nhiệm,,,,,,,,7:29,7:44,8:29,9:29,10:29,11:04,11:29,12:29,13:29,14:29,15:29,16:29,16:44,16:59,17:29,18:29,19:14
Ban QL Phát Triển Khu Liên Hợp BD,,,,,,,,7:31,7:46,8:31,9:31,10:31,11:06,11:31,12:31,13:31,14:31,15:31,16:31,16:46,17:01,17:31,18:31,19:16
Phòng khám Đa khoa Khu vực Phú Mỹ,,,,,,,,7:33,7:48,8:33,9:33,10:33,11:08,11:33,12:33,13:33,14:33,15:33,16:33,16:48,17:03,17:33,18:33,19:18
Ngã ba Huỳnh Văn Lũy - Trần Ngọc Lên,,,,,,,,7:34,7:49,8:34,9:34,10:34,11:09,11:34,12:34,13:34,14:34,15:34,16:34,16:49,17:04,17:34,18:34,19:19
Ngã ba Phú Mỹ,,,,,,,,7:36,7:51,8:36,9:36,10:36,11:11,11:36,12:36,13:36,14:36,15:36,16:36,16:51,17:06,17:36,18:36,19:21
Ủy Ban Nhân Dân phường Phú Mỹ,,,,,,,,7:37,7:52,8:37,9:37,10:37,11:12,11:37,12:37,13:37,14:37,15:37,16:37,16:52,17:07,17:37,18:37,19:22
Ngã tư Huỳnh Văn Lũy - Mỹ Phước Tân Vạn ,,,,,,,,7:39,7:54,8:39,9:39,10:39,11:14,11:39,12:39,13:39,14:39,15:39,16:39,16:54,17:09,17:39,18:39,19:24
Trung tâm văn hóa thể thao phường Phú Lợi ,,,,,,,,7:40,7:55,8:40,9:40,10:40,11:15,11:40,12:40,13:40,14:40,15:40,16:41,16:56,17:11,17:40,18:40,19:25
Ngã ba Huỳnh Văn Lũy - Lê Hồng Phong ,,,,,,,,7:41,7:56,8:41,9:41,10:41,11:16,11:41,12:41,13:41,14:41,15:41,16:42,16:57,17:12,17:41,18:41,19:26
Trường Đại Học Mở,,,,,,,,7:43,7:58,8:43,9:43,10:43,11:18,11:43,12:43,13:43,14:43,15:43,16:45,17:00,17:15,17:43,18:43,19:28
Cục Thống Kê Bình Dương,,,,,,,,7:44,7:59,8:44,9:44,10:44,11:19,11:44,12:44,13:44,14:44,15:44,16:46,17:01,17:16,17:44,18:44,19:29
Ngã ba Phú Lợi - Lê Thị Trung,,,,,,,,7:45,8:00,8:45,9:45,10:45,11:20,11:45,12:45,13:45,14:45,15:45,16:47,17:02,17:17,17:45,18:45,19:30
Ngã ba Phú Lợi - Huỳnh Văn Nghệ,,,,,,,,7:46,8:01,8:46,9:46,10:46,11:21,11:46,12:46,13:46,14:46,15:46,16:48,17:03,17:18,17:46,18:46,19:31
Trường trung học cơ sở Phú Hòa,,,,,,,,7:48,8:03,8:48,9:48,10:48,11:23,11:48,12:48,13:48,14:48,15:48,16:50,17:05,17:20,17:48,18:48,19:33
Lê Hồng Phong Khu Phố 8,,,,,,,,7:49,8:04,8:49,9:49,10:49,11:24,11:49,12:49,13:49,14:49,15:49,16:51,17:06,17:21,17:49,18:49,19:34
Ngã ba Lê Hồng Phong - D1,,,,,,,,7:50,8:05,8:50,9:50,10:50,11:25,11:50,12:50,13:50,14:50,15:50,16:52,17:07,17:22,17:50,18:50,19:35
Khu dân cư Phú Hòa,,,,,,,,7:52,8:07,8:52,9:52,10:52,11:27,11:52,12:52,13:52,14:52,15:52,16:55,17:10,17:25,17:52,18:52,19:37
Trường Cao Đẳng Y Tế Bình Dương,,,,,,,,7:53,8:08,8:53,9:53,10:53,11:28,11:53,12:53,13:53,14:53,15:53,16:56,17:11,17:26,17:53,18:53,19:38
Ngã tư Lê Hồng Phong - Đại Lộ BD,,,,,,,,7:54,8:09,8:54,9:54,10:54,11:29,11:54,12:54,13:54,14:54,15:54,16:57,17:12,17:27,17:54,18:54,19:39
Ngã tư Địa Chất,,,,,,,,7:56,8:11,8:56,9:56,10:56,11:31,11:56,12:56,13:56,14:56,15:56,16:59,17:14,17:29,17:56,18:56,19:41
Cafe Lucky,,,,,,,,7:57,8:12,8:57,9:57,10:57,11:32,11:57,12:57,13:57,14:57,15:57,17:00,17:15,17:30,17:57,18:57,19:42
Ủy Ban Nhân Dân phường Phú Thọ,,,,,,,,7:58,8:13,8:58,9:58,10:58,11:33,11:58,12:58,13:58,14:58,15:58,17:01,17:16,17:31,17:58,18:58,19:43
Ngã ba Cây Me,,,,,,,,7:59,8:14,8:59,9:59,10:59,11:34,11:59,12:59,13:59,14:59,15:59,17:02,17:17,17:32,17:59,18:59,19:44
Bến xe khách tỉnh Bình Dương,,,,,,,,8:02,8:17,9:02,10:02,11:02,11:37,12:02,13:02,14:02,15:02,16:02,17:05,17:20,17:35,18:02,19:02,19:47
Sân vận động Gò Đậu - Bình Dương,,,,,,,,8:03,8:18,9:03,10:03,11:03,11:38,12:03,13:03,14:03,15:03,16:03,17:06,17:21,17:36,18:03,19:03,19:48
Tòa nhà Becamex,,,,,,,,8:07,8:22,9:07,10:07,11:07,11:42,12:07,13:07,14:07,15:07,16:07,17:12,17:27,17:42,18:07,19:07,19:52
