Code,Name
1,Becamex Building
2,Go Dau Stadium - Binh Duong Province
3,Bus station of Binh Duong province
4,Lo Chen junction
5,Binh Minh Bookstore
6,Phu Cuong Park
7,Thien Hau pagoda
8,Binh Duong Children's Hospital
9,Coconut Tree Market
10,Police of Hiep Thanh Ward
11,Ba Duong Boulevard - Huynh Van Luy
12,Binh Duong Provincial Library
13,Binh Duong General Hospital
14,Pham Ngoc Thach crossroad - Nguyen Duc Thuan
15,Petrus Ky Intermediate School
16,Pham Ngoc Thach crossroad - My Phuoc Tan Van
17,Sports and Culture Center of HCMC Thu Dau Mot
18,Pham Ngoc Thach crossroad - Tran Ngoc Len
19,Pham Ngoc Thach No.1
20,Crossroads of Hung Vuong Boulevard - Vo Van Kiet
21,SORA gardens
22,Lucky Square
23,Commercial Street - Le Loi
24,Commercial Street - Dong Khoi
25,Commercial Street - Ly Thai To Street
26,Becamex New City Hotel
27,hikari
28,Social insurance of Binh Duong province
29,Aroma - Le Lai
30,Eastern International University
31,Ngo Thoi Nhiem school
32,Cay Me Tertiary
33,People's Committee of Phu Tho Ward
34,Lucky Cafe
35,Geological Intersection
36,Le Hong Phong intersection - Binh Duong Boulevard
37,Binh Duong Medical College
38,Residential Phu Hoa
39,Le Hong Phong junction - D1
40,Le Hong Phong Quarter 8
41,Phu Hoa Junior High School
42,Phu Loi junction - Huynh Van Nghe
43,Phu Loi junction - Le Thi Trung
44,Binh Duong Statistical Office
45,Open college
46,Huynh Van Luy Third Cross - Le Hong Phong
47,Phu Loi Sports and Cultural Center
48,Huynh Van Luy Crossing - My Phuoc Tan Van
49,People's Committee of Phu My Ward
50,Phu My junction
51,Huynh Van Luy Intersection - Tran Ngoc Len
52,Phu My General Clinic
53,Binh Duong Complex Development Zone
54,Hoi An temple
55,Unitown - Le Hoan
56,VSIP Gateway 2
57,VSIP2 Thong Nhat - Road No.2
58,VSIP2 Thong Nhat - Road No.4
59,VSIP2 Unified - Democracy
60,VSIP2 Thong Nhat - Road 6
61,VSIP2 Thong Nhat - Road 7
62,Northeastern International University Gateway
63,Becamex UDJ Lake View
64,Binh Duong New City Center Park
65,Binh Duong New City Sports Center
66,Becamex Tokyu Company
67,MIDORI PARK
68,Hoa Loi Market
69,Hoa Lo Social Security Residence
70,VSIP2 Democracy - Belt 1
71,VSIP 2 Democracy - Unification
72,Nguyen Khuyen School
73,Road No. 3 - No.8
74,Road No. 3 - No. 38
75,Road No. 3 - Tran Quoc Toan
76,Phu Chanh Market
77,VNTT Company
78,TDC Plaza
